model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
luna,extra-high,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-e05d5932,80.6965,82.4470,83.33,73.90,100.00,73.4848,66.6667,91.6667,False,64.5833,58.3333,70.8333,94.4444,68.7500,66.6667,70.8333,88.8889,10,2688.705,16141704,0.564361,2026-09-13T14:39:09.338036+00:00,2026-09-13T15:23:58.054872+00:00,codex-cli 0.153.4,51a0be2c606c8069a3b189bf82ef7c67a49fb766a67e3ef365e7359dbe196732
luna,extra-high,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-a79dd683,39.4770,41.2785,0.00,76.20,100.00,74.2424,64.5833,100.0000,False,64.5833,58.3333,70.8333,100.0000,64.5833,54.1667,75.0000,100.0000,1,1056.958,3972134,0.160922,2026-09-13T07:55:16.445685+00:00,2026-09-13T08:12:53.411505+00:00,codex-cli 0.153.4,eda13017230a79c70daee4fd770b51495522e3cb72c6192fadf0d6ef348ba403
luna,extra-high,legacy-metercore-binary-parity,legacy-metercore-binary-parity-31c92525,92.2676,93.4514,100.00,81.09,100.00,81.4394,79.1667,87.5000,False,81.2500,75.0000,87.5000,93.7500,77.0833,75.0000,79.1667,81.2500,9,842.498,2558194,0.117467,2026-09-13T08:46:11.939643+00:00,2026-09-13T09:00:14.449583+00:00,codex-cli 0.153.4,32b0b8130fe3c3790d88abca31f68c56e4550f5c5f2c60457ea1101fb03308e9
luna,extra-high,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-5df59945,39.8552,42.0907,0.00,82.12,100.00,73.8636,65.6250,95.8333,False,62.5000,58.3333,66.6667,91.6667,68.7500,62.5000,75.0000,100.0000,7,832.354,1986569,0.106924,2026-09-13T12:37:37.884938+00:00,2026-09-13T12:51:30.245730+00:00,codex-cli 0.153.4,2de80371dcfe1e283127717d7585e204155073d307ff5b291b485622f254f3fa
luna,extra-high,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-3f0adfa7,57.0681,60.5602,46.67,70.39,100.00,58.3333,58.3333,58.3333,False,58.3333,50.0000,66.6667,50.0000,58.3333,54.1667,62.5000,66.6667,7,3093.188,25797681,0.754510,2026-09-13T16:19:42.718884+00:00,2026-09-13T17:11:15.926032+00:00,codex-cli 0.153.4,d693ebdafcdf51411cbccf581b33e3393e5d984993b79fe057a4911576ebecfc
luna,extra-high,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-ef6db000,87.2100,90.3773,100.00,81.00,100.00,66.1364,65.6250,67.5000,False,58.3333,50.0000,66.6667,65.0000,72.9167,66.6667,79.1667,70.0000,10,1190.358,5473555,0.205274,2026-09-13T08:26:21.437493+00:00,2026-09-13T08:46:11.804995+00:00,codex-cli 0.153.4,d7228485580af41a9433c57cf9315abf954b41a4707dba4d30739d6f6bc0d264
luna,extra-high,legacy-qlite-store-parity,legacy-qlite-store-parity-97345ad9,90.1164,91.8275,100.00,77.84,100.00,75.7576,73.9583,80.5556,False,75.0000,70.8333,79.1667,88.8889,72.9167,66.6667,79.1667,72.2222,9,807.743,2686645,0.127217,2026-09-13T08:12:53.549980+00:00,2026-09-13T08:26:21.298863+00:00,codex-cli 0.153.4,64c1947fda84469fabbdf5fb7ad677ea8b427a44552ff27af266a655c24a5405
luna,extra-high,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-e935992f,88.5339,91.0624,100.00,79.81,100.00,70.4545,68.7500,75.0000,False,66.6667,54.1667,79.1667,71.4286,70.8333,62.5000,79.1667,78.5714,8,1353.243,3451518,0.184853,2026-09-13T10:24:18.153966+00:00,2026-09-13T10:46:51.404711+00:00,codex-cli 0.153.4,ac6fd9c65a8ec18d353950e9c333bcedcb078a01013977fb7a8c4ca812efa156
luna,extra-high,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-99b797e4,90.4649,92.4425,100.00,81.94,100.00,75.7576,71.8750,86.1111,False,72.9167,70.8333,75.0000,83.3333,70.8333,70.8333,70.8333,88.8889,10,841.503,2115356,0.109654,2026-09-13T09:34:40.202577+00:00,2026-09-13T09:48:41.711696+00:00,codex-cli 0.153.4,e9481737ad70609a8079d3cf340174a36b83f1bede85bf9ddce5b24affa0425f
luna,extra-high,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-7ca3fae0,74.2455,77.8685,75.00,83.77,100.00,64.0152,61.4583,70.8333,False,62.5000,62.5000,62.5000,66.6667,60.4167,58.3333,62.5000,75.0000,6,1944.224,7320812,0.293655,2026-09-13T11:27:36.446451+00:00,2026-09-13T12:00:00.682607+00:00,codex-cli 0.153.4,cd9fc5662955511a841f8b2da12af12d09831d8506a11fc38e280054c6747314
luna,extra-high,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-de684e27,81.6121,84.3511,87.50,79.26,100.00,68.5606,67.7083,70.8333,False,66.6667,58.3333,75.0000,58.3333,68.7500,66.6667,70.8333,83.3333,7,998.354,2869425,0.128653,2026-09-13T11:10:57.926367+00:00,2026-09-13T11:27:36.289464+00:00,codex-cli 0.153.4,0345a671fdd1c3411ffd2d92a77a22252eaf59c816b91f5638ec5deab3a76ed3
luna,extra-high,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-42d01df0,77.9759,80.4761,80.00,77.29,100.00,69.4129,70.8333,65.6250,False,70.8333,66.6667,75.0000,56.2500,70.8333,66.6667,75.0000,75.0000,8,1736.297,8759003,0.305521,2026-09-13T07:26:19.991771+00:00,2026-09-13T07:55:16.302509+00:00,codex-cli 0.153.4,3bd76466e39c64165248f79093282c5200468caa1f1c96d9006e05d708d98e18
luna,extra-high,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-6555ad2e,75.9770,79.7728,80.00,82.45,100.00,62.0265,67.7083,46.8750,False,62.5000,58.3333,66.6667,50.0000,72.9167,70.8333,75.0000,43.7500,8,1279.645,5228170,0.212595,2026-09-13T09:48:41.845788+00:00,2026-09-13T10:10:01.500923+00:00,codex-cli 0.153.4,542696d536f2d8437303a2a97877236c925ecf2a20efa6eb0c1d2e561b384420
luna,extra-high,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-35d98f41,87.7251,90.7938,100.00,82.06,100.00,67.4242,64.5833,75.0000,False,58.3333,50.0000,66.6667,78.5714,70.8333,66.6667,75.0000,71.4286,9,1768.523,11245042,0.358973,2026-09-13T13:05:50.597342+00:00,2026-09-13T13:35:19.131699+00:00,codex-cli 0.153.4,9a1ac2a0da55ad17d213cb1f36f5a28ddd7c3cf96c67998b8c78955a3123cabb
luna,extra-high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-a331134e,86.3714,89.9773,100.00,82.10,100.00,63.3117,56.2500,82.1429,False,50.0000,50.0000,50.0000,78.5714,62.5000,62.5000,62.5000,85.7143,8,2256.904,10292555,0.378672,2026-09-13T12:00:00.827143+00:00,2026-09-13T12:37:37.738773+00:00,codex-cli 0.153.4,7076d594a5fdbbcd6b34eec5d06c027a06b08b00fc8581c7da750415362ef7b3
luna,extra-high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-8f3d8c3e,88.6443,91.4228,100.00,82.79,100.00,70.0216,70.8333,67.8571,False,66.6667,66.6667,66.6667,64.2857,75.0000,70.8333,79.1667,71.4286,9,856.353,2744177,0.126845,2026-09-13T10:10:01.647182+00:00,2026-09-13T10:24:18.007696+00:00,codex-cli 0.153.4,9a8b3c866347c187acd63a3ac3cf449ff57acc85b9fb27de3406b0c04ec2d87a
luna,max,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-c64cb04f,85.6816,89.4687,100.00,81.18,100.00,61.4583,64.5833,53.1250,False,58.3333,58.3333,58.3333,50.0000,70.8333,70.8333,70.8333,56.2500,9,902.06,3527813,0.147057,2026-09-13T22:56:40.993869+00:00,2026-09-13T23:11:43.059181+00:00,codex-cli 0.153.4,42fadf3ac75abf6382a4dd5f172f6f11fd450e81bde27a51a3155ff3bbccbb12
luna,max,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-e8309299,85.5643,88.6964,100.00,74.06,100.00,62.9371,56.2500,80.7692,False,56.2500,45.8333,66.6667,80.7692,56.2500,50.0000,62.5000,80.7692,14,3711.268,18509287,0.680023,2026-09-14T05:48:03.515074+00:00,2026-09-14T06:49:54.802024+00:00,codex-cli 0.153.4,5ef4913c26991519d82b87e211efa1efab24a65a4c40a35a2689f973313117b0
luna,max,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-9c397a7a,78.5552,80.8931,80.00,77.96,100.00,70.9957,61.4583,96.4286,False,58.3333,50.0000,66.6667,100.0000,64.5833,54.1667,75.0000,92.8571,8,956.519,3356740,0.149345,2026-09-13T19:12:08.739443+00:00,2026-09-13T19:28:05.265127+00:00,codex-cli 0.153.4,7334cc3dc0d52a056c4cb32d3b0c0798479a0ae2443578528d4182f8d3839a54
luna,max,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-d8e51210,82.7147,86.7202,100.00,71.53,100.00,54.9534,51.0417,65.3846,False,47.9167,45.8333,50.0000,50.0000,54.1667,58.3333,50.0000,80.7692,14,7120.031,38120923,1.422974,2026-09-14T02:36:08.046065+00:00,2026-09-14T04:34:48.112214+00:00,codex-cli 0.153.4,7becc7cf75c6f649d6336db1052ffda9eded63f3c56ecc14896663ccfe60ddcb
luna,max,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-54da840b,89.5882,91.7645,100.00,80.45,100.00,73.4848,63.5417,100.0000,False,62.5000,54.1667,70.8333,100.0000,64.5833,62.5000,66.6667,100.0000,9,1028.055,3302339,0.151932,2026-09-13T18:55:00.520974+00:00,2026-09-13T19:12:08.586269+00:00,codex-cli 0.153.4,af7222e06de4c6c27de0173ba29213164f1e2442a09a7a5e92f7d80da6147769
luna,max,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-a3942c5c,80.7788,84.9974,100.00,65.95,100.00,50.5245,40.6250,76.9231,False,37.5000,29.1667,45.8333,65.3846,43.7500,37.5000,50.0000,88.4615,14,10632.839,35898336,1.297739,2026-09-13T23:38:55.046127+00:00,2026-09-14T02:36:07.898953+00:00,codex-cli 0.153.4,8d88df2cb5697b85c7e306f15d35261d35a953e2e445accd3286e57b63bf0f30
luna,max,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-0d45acbd,89.3029,91.6231,100.00,80.77,100.00,72.5379,64.5833,93.7500,False,64.5833,62.5000,66.6667,93.7500,64.5833,62.5000,66.6667,93.7500,8,1339.2,5852193,0.228866,2026-09-13T20:32:10.415160+00:00,2026-09-13T20:54:29.623608+00:00,codex-cli 0.153.4,adb3f9482ff57bf123a7cffdfa992cb4218972367a02d89d3b8cff8c1191a712
luna,max,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-60dcc187,86.3762,89.1244,100.00,73.41,100.00,65.5647,55.2083,93.1818,False,56.2500,54.1667,58.3333,100.0000,54.1667,58.3333,50.0000,86.3636,12,4395.095,27229419,0.919273,2026-09-14T04:34:48.261755+00:00,2026-09-14T05:48:03.370776+00:00,codex-cli 0.153.4,339d3f144fd67a92c4260d95c240e785cecbd6fabd510e3b508736e6f5f97025
luna,max,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-fed7ca5e,86.5536,89.3058,100.00,74.16,100.00,65.9091,61.4583,77.7778,False,56.2500,54.1667,58.3333,77.7778,66.6667,62.5000,70.8333,77.7778,9,1051.382,2986272,0.148548,2026-09-13T17:30:07.717722+00:00,2026-09-13T17:47:39.103879+00:00,codex-cli 0.153.4,938aa61db725fbfc4ee8701ad8a2598408fc6c60c123ba90e872bc4daf678dc8
luna,max,legacy-metercore-binary-parity,legacy-metercore-binary-parity-19f7f647,88.6457,91.1873,100.00,80.39,100.00,70.6439,66.6667,81.2500,False,64.5833,62.5000,66.6667,75.0000,68.7500,62.5000,75.0000,87.5000,9,968.458,2488482,0.128676,2026-09-13T18:38:51.929218+00:00,2026-09-13T18:55:00.387146+00:00,codex-cli 0.153.4,973736c8701814ad1b5b516a8e6943d352f4db74bdc3ed99600f0c0c7e9e31ba
luna,max,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-06861184,89.5176,91.8054,100.00,81.30,100.00,73.0519,65.6250,92.8571,False,62.5000,50.0000,75.0000,92.8571,68.7500,62.5000,75.0000,92.8571,9,914.115,2528818,0.127158,2026-09-13T22:41:26.738382+00:00,2026-09-13T22:56:40.858450+00:00,codex-cli 0.153.4,1ad008c21b6f08e218c9dff8f19fc07fbe0bf31952bed1492d189a7cf7f4a3f0
luna,max,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-3f483b2d,80.6690,83.9076,100.00,70.56,85.00,52.8680,47.9167,66.0714,False,43.7500,37.5000,50.0000,67.8571,52.0833,45.8333,58.3333,64.2857,15,11744.036,71027010,2.461601,2026-09-14T06:49:54.962971+00:00,2026-09-14T10:05:39.037027+00:00,codex-cli 0.153.4,c6a6d2bc5b35dd339048830b019dda739698b24a4f7bb30a5196b360d0fac57a
luna,max,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-3e353bfc,86.2192,89.5848,100.00,79.05,100.00,63.6364,59.3750,75.0000,False,56.2500,50.0000,62.5000,70.0000,62.5000,58.3333,66.6667,80.0000,10,1729.052,8691904,0.322545,2026-09-13T18:10:02.730049+00:00,2026-09-13T18:38:51.792190+00:00,codex-cli 0.153.4,5cac6f3fe365934be6b3a75cd7d4a7d2f16d3125075994c1965a01588c57e08d
