model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,solver_fallback,duration_s,raw_tokens,estimated_usd,long_context_upper_usd,started_at,finished_at,solver_cli_version,evidence_sha256
fable,extra-high,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-3d73f24f,91.6902,93.3013,100.00,83.12,100.00,79.1667,85.4167,62.5000,85.4167,83.3333,87.5000,56.2500,85.4167,83.3333,87.5000,68.7500,False,630.79,1466162,4.350774,4.350774,2026-09-06T01:39:05.449812+00:00,2026-09-06T01:49:36.243578+00:00,2.1.261 (Claude Code),d00e618f2a0655b343a1839c2093959a809217a352d1e8a6e88bd5711a0b2eb9
fable,extra-high,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-9cd5f12a,89.5817,88.7449,100.00,84.83,65.00,81.3520,82.2917,78.8462,85.4167,83.3333,87.5000,84.6154,79.1667,75.0000,83.3333,73.0769,False,1358.742,5602409,11.160752,11.160752,2026-09-06T07:43:41.716177+00:00,2026-09-06T08:06:20.465005+00:00,2.1.261 (Claude Code),ba697fea4d8e6bb6001d6c5c5ff89ccd7e067cb59c96087b4a108487aecd8da5
fable,extra-high,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-ba711fbb,95.3679,95.5913,100.00,83.74,100.00,90.1515,86.4583,100.0000,89.5833,83.3333,95.8333,100.0000,83.3333,83.3333,83.3333,100.0000,False,824.279,963939,5.118877,5.118877,2026-09-05T14:55:52.713337+00:00,2026-09-05T15:09:36.997348+00:00,2.1.260 (Claude Code),a7e8692870474c777933091fe0a496b5f3ef8fec1ae8786333a8ff42c8d88e39
fable,extra-high,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-a7f1bd6e,88.8265,91.5342,100.00,87.80,95.00,70.5711,73.9583,61.5385,72.9167,62.5000,83.3333,61.5385,75.0000,75.0000,75.0000,61.5385,True,10060.986,73076102,63.172166,63.172166,2026-09-06T04:29:31.501626+00:00,2026-09-06T07:17:12.510157+00:00,2.1.261 (Claude Code),fdd8064df20907502aaa00e861743777deffc05c6fcee748519fe000c7515b0c
fable,extra-high,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-35dd75af,96.1383,96.0818,100.00,83.98,100.00,92.4242,89.5833,100.0000,91.6667,91.6667,91.6667,100.0000,87.5000,83.3333,91.6667,100.0000,False,1084.245,1528729,6.820057,6.820057,2026-09-05T14:37:48.336788+00:00,2026-09-05T14:55:52.587140+00:00,2.1.260 (Claude Code),2beaf931e06403043c8a634e9cf2f12821a671461003f117ad82119fc875ca0a
fable,extra-high,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-0c6fd1c7,84.7848,87.7887,100.00,69.64,100.00,61.7133,62.5000,59.6154,60.4167,62.5000,58.3333,42.3077,64.5833,62.5000,66.6667,76.9231,True,8922.121,71424879,61.473053,61.473053,2026-09-06T02:00:49.213254+00:00,2026-09-06T04:29:31.360424+00:00,2.1.261 (Claude Code),843efa2f3f6f4818ab03198983f1f5ecfca0bf90f20cb602647bab7d49e2af41
fable,extra-high,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-bff7f767,85.8645,79.8345,100.00,82.23,0.00,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,87.5000,False,851.198,1309723,5.344083,5.344083,2026-09-05T16:43:38.785221+00:00,2026-09-05T16:57:49.995483+00:00,2.1.260 (Claude Code),d502529122854df1d2f4ec883ad102445bc3aa80cc386b6c15477afa12162d8b
fable,extra-high,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-a43515de,91.0050,92.1317,100.00,75.46,100.00,79.0634,72.9167,95.4545,70.8333,70.8333,70.8333,95.4545,75.0000,79.1667,70.8333,95.4545,False,1588.916,4094568,10.438722,10.438722,2026-09-06T07:17:12.650374+00:00,2026-09-06T07:43:41.576464+00:00,2.1.261 (Claude Code),cd617140efac801f965eb74314041e9dd799ddd7f5bdf82a7898e114491bf09f
fable,extra-high,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-43b4f49d,93.0489,92.0783,100.00,82.34,80.00,88.6364,90.6250,83.3333,93.7500,95.8333,91.6667,83.3333,87.5000,83.3333,91.6667,83.3333,False,1134.256,1707897,5.653039,5.653039,2026-09-05T13:30:00.823415+00:00,2026-09-05T13:48:55.084762+00:00,2.1.260 (Claude Code),08bd3c66bd38a31e89ced15a0845e76895bab0196eae06d386b16601882972d4
fable,extra-high,legacy-metercore-binary-parity,legacy-metercore-binary-parity-3e375cc4,93.9326,94.0359,100.00,86.78,90.00,87.5947,86.4583,90.6250,87.5000,83.3333,91.6667,93.7500,85.4167,83.3333,87.5000,87.5000,False,996.332,1258463,5.498513,5.498513,2026-09-05T14:21:11.859801+00:00,2026-09-05T14:37:48.197109+00:00,2.1.260 (Claude Code),67e39106dbcb282812ded81d1749738b9e1f4bc61e40025596e042e2d00ac183
fable,extra-high,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-c1feb9c9,91.4902,88.8310,100.00,83.96,55.00,89.9351,87.5000,96.4286,89.5833,87.5000,91.6667,100.0000,85.4167,83.3333,87.5000,92.8571,False,1007.976,1179138,4.939088,4.939088,2026-09-06T01:22:17.337299+00:00,2026-09-06T01:39:05.317030+00:00,2.1.261 (Claude Code),376f0eb7d02d6a4d9cd1e86db2fc46103f1ecc8ca67f99167c9538f28c577acb
fable,extra-high,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-3601a54a,78.2480,81.1374,80.00,87.33,95.00,68.9394,76.0417,50.0000,75.0000,75.0000,75.0000,50.0000,77.0833,75.0000,79.1667,50.0000,True,10576.801,72351055,71.273849,71.273849,2026-09-06T08:06:20.601798+00:00,2026-09-06T11:02:37.431038+00:00,2.1.261 (Claude Code),65a83abbf9549bafbd92aeb387ba9b13138a55bbe023763f1d0de7917db20a9e
fable,extra-high,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-b13c889a,88.6905,86.1829,100.00,84.30,45.00,83.9394,85.4167,80.0000,83.3333,83.3333,83.3333,75.0000,87.5000,83.3333,91.6667,85.0000,False,1022.321,2395258,6.719315,6.719315,2026-09-05T14:04:09.364670+00:00,2026-09-05T14:21:11.690877+00:00,2.1.260 (Claude Code),4d2e40779440eb730a11346b2f60b426a02db133b9352698c109b614cc5c6e32
fable,extra-high,legacy-qlite-store-parity,legacy-qlite-store-parity-230dd274,93.3653,94.3747,100.00,83.71,100.00,84.0909,85.4167,80.5556,81.2500,79.1667,83.3333,77.7778,89.5833,83.3333,95.8333,83.3333,False,913.984,1381041,5.381661,5.381661,2026-09-05T13:48:55.233414+00:00,2026-09-05T14:04:09.221748+00:00,2.1.260 (Claude Code),354f6fca492f44ae26ce0c1e8aaeed0f9e7b7aeb38cc9c6074c841ca53162673
fable,extra-high,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-8090c2fa,92.1647,93.5387,100.00,82.61,100.00,80.7359,80.2083,82.1429,79.1667,79.1667,79.1667,100.0000,81.2500,83.3333,79.1667,64.2857,False,1805.248,3651697,8.923454,8.923454,2026-09-05T16:13:33.402874+00:00,2026-09-05T16:43:38.648053+00:00,2.1.260 (Claude Code),262986e53e75ca0d782741c654541a7d3b003a05bb6642b640df904f4d0f4848
fable,extra-high,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-6b6e2387,88.9452,87.1537,100.00,82.59,55.00,82.5758,83.3333,80.5556,87.5000,79.1667,95.8333,83.3333,79.1667,75.0000,83.3333,77.7778,False,1471.191,2741682,7.527836,7.527836,2026-09-05T15:09:37.124814+00:00,2026-09-05T15:34:08.320563+00:00,2.1.260 (Claude Code),b3e4e78949207791cdb49ebb363d75788eb1921f12385f250d864e90fa60ddf2
fable,extra-high,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-e9403505,87.9458,87.0040,100.00,87.22,55.00,78.3550,82.2917,67.8571,83.3333,83.3333,83.3333,64.2857,81.2500,79.1667,83.3333,71.4286,False,1870.143,2455784,7.912371,7.912371,2026-09-06T00:31:08.405761+00:00,2026-09-06T01:02:18.556119+00:00,2.1.261 (Claude Code),4072d87e33dd1b65e0d4de0c16ef925e12ac76502b28cf001aa42c8ae79be9c3
fable,extra-high,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-1ff4932c,91.6430,91.9974,100.00,85.17,85.00,82.3593,86.4583,71.4286,85.4167,83.3333,87.5000,71.4286,87.5000,87.5000,87.5000,71.4286,False,2235.719,5799474,10.955018,10.955018,2026-09-05T23:53:52.548775+00:00,2026-09-06T00:31:08.276159+00:00,2.1.261 (Claude Code),83c6588200ac0ba87ab0a86f824ba099b2080108ba70963ebeb330e6e191d993
fable,extra-high,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-7e097647,94.3101,94.8832,100.00,83.06,100.00,87.1212,82.2917,100.0000,85.4167,83.3333,87.5000,100.0000,79.1667,83.3333,75.0000,100.0000,False,915.955,1287413,5.675000,5.675000,2026-09-05T13:14:44.733266+00:00,2026-09-05T13:30:00.694744+00:00,2.1.260 (Claude Code),db02331d449be24fbd733b62f9181381fae5ea344d8da2d2822454bd2f9d1676
fable,extra-high,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-4a17424c,93.1851,94.3462,100.00,84.53,100.00,83.3333,86.4583,75.0000,87.5000,87.5000,87.5000,68.7500,85.4167,87.5000,83.3333,81.2500,False,1282.928,2825743,6.818410,6.818410,2026-09-05T15:34:08.452978+00:00,2026-09-05T15:55:31.389198+00:00,2.1.260 (Claude Code),2eb52c146d8be5f7faa195068333ae4c82553a2631ecd0b5b536e17386081b70
fable,extra-high,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-c75ebeb7,91.4156,93.0856,100.00,82.62,100.00,78.4632,77.0833,82.1429,77.0833,75.0000,79.1667,78.5714,77.0833,79.1667,75.0000,85.7143,False,672.699,854083,3.941064,3.941064,2026-09-06T01:49:36.365501+00:00,2026-09-06T02:00:49.068710+00:00,2.1.261 (Claude Code),368bf02ab4a936b528f497faed00c34d497b0e74501c572f257753aabbd4cde6
fable,extra-high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-a9347c70,92.6028,93.3187,100.00,82.68,95.00,83.3333,77.0833,100.0000,77.0833,75.0000,79.1667,100.0000,77.0833,75.0000,79.1667,100.0000,False,1198.51,2207121,7.979237,7.979237,2026-09-06T01:02:18.680732+00:00,2026-09-06T01:22:17.198673+00:00,2.1.261 (Claude Code),03f863206222ab37a7be82fcc57a85ed95cc6e8197b453fa7349abfcdf05714a
fable,extra-high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-f7b01ecd,93.1026,94.2834,100.00,84.40,100.00,83.1169,87.5000,71.4286,87.5000,87.5000,87.5000,85.7143,87.5000,87.5000,87.5000,57.1429,False,1081.744,1451361,6.093266,6.093266,2026-09-05T15:55:31.524416+00:00,2026-09-05T16:13:33.274184+00:00,2.1.260 (Claude Code),b5abe9eac85eaa44f02208f5c6a870bd1e16a0dcc91000de9690939e813f74ea
fable,max,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-e13e3b5d,92.8734,94.1583,100.00,84.54,100.00,82.3864,87.5000,68.7500,87.5000,83.3333,91.6667,75.0000,87.5000,91.6667,83.3333,62.5000,False,1524.529,1231912,5.354320,5.354320,2026-09-05T07:07:59.025713+00:00,2026-09-05T07:33:23.559570+00:00,2.1.260 (Claude Code),2901763cca2ffff7fc44dc41b92a049ecd240df89e1f52c59643795e4daee42f
fable,max,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-bbc55448,91.1926,92.5457,100.00,78.51,100.00,78.8462,78.1250,80.7692,79.1667,75.0000,83.3333,73.0769,77.0833,75.0000,79.1667,88.4615,True,2443.849,5089106,8.957162,8.957162,2026-09-05T09:13:31.376129+00:00,2026-09-05T09:54:15.233453+00:00,2.1.260 (Claude Code),2ac8acfdd7113b1d6745fb47718b2b97ee50cf70492847945dd2100743e9f46f
fable,max,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-764ce0a6,93.9168,94.5513,100.00,82.11,100.00,86.1742,83.3333,93.7500,85.4167,79.1667,91.6667,93.7500,81.2500,83.3333,79.1667,93.7500,False,1293.644,1648469,8.514237,8.514237,2026-09-05T02:04:54.804646+00:00,2026-09-05T02:26:28.458063+00:00,2.1.260 (Claude Code),8827cb0223a9b2723810d54eadd432b7e796bedf595a78110d42004eabce66c9
fable,max,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-52304d66,86.7422,89.5718,100.00,75.70,100.00,66.0839,75.0000,42.3077,79.1667,83.3333,75.0000,38.4615,70.8333,75.0000,66.6667,46.1538,False,1244.906,2582072,10.004679,10.004679,2026-09-05T08:17:49.828599+00:00,2026-09-05T08:38:34.744035+00:00,2.1.260 (Claude Code),70fb2b2327ccc37c295b25403131c97b5dd07ec878bb319d7fb8fed6379d4e33
fable,max,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-d99c7082,95.3075,95.4848,100.00,83.03,100.00,90.1515,87.5000,97.2222,85.4167,87.5000,83.3333,100.0000,89.5833,87.5000,91.6667,94.4444,False,1795.645,4667445,11.245778,11.245778,2026-09-05T01:34:59.030766+00:00,2026-09-05T02:04:54.682573+00:00,2.1.260 (Claude Code),983f48ace7fd5876489952361000c76781622b9b79ca1230d0165939c9674ab1
fable,max,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-238fe6df,89.5262,89.8724,100.00,76.62,85.00,78.1469,75.0000,86.5385,77.0833,75.0000,79.1667,88.4615,72.9167,66.6667,79.1667,84.6154,False,1779.287,3608095,12.027024,12.027024,2026-09-05T07:48:10.382494+00:00,2026-09-05T08:17:49.677918+00:00,2.1.260 (Claude Code),d953453e9b29995054fee04803358be54ba5fef21c79816bd9d6612bca4fcba9
fable,max,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-58ec6461,93.9974,94.6573,100.00,82.69,100.00,86.2689,82.2917,96.8750,79.1667,75.0000,83.3333,93.7500,85.4167,83.3333,87.5000,100.0000,False,921.125,1322740,6.108992,6.108992,2026-09-05T05:25:41.418006+00:00,2026-09-05T05:41:02.548776+00:00,2.1.260 (Claude Code),f215ea4aba83f0f48be2247546c37353291d9cad1113b78faaab0957519341b5
fable,max,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-7e9137aa,92.9570,93.3117,100.00,75.43,100.00,84.9862,80.2083,97.7273,85.4167,83.3333,87.5000,100.0000,75.0000,79.1667,70.8333,95.4545,False,2096.338,9405900,14.324800,14.324800,2026-09-05T08:38:34.882927+00:00,2026-09-05T09:13:31.232853+00:00,2.1.260 (Claude Code),e3cc14509436d885f83f3c86439b17793ccc69a494448b6a610bb7a9e94d2e56
fable,max,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-3b8fefe8,89.5023,86.9782,100.00,82.38,50.00,85.6061,88.5417,77.7778,89.5833,87.5000,91.6667,83.3333,87.5000,87.5000,87.5000,72.2222,False,966.381,1302142,5.749356,5.749356,2026-09-05T00:29:59.049815+00:00,2026-09-05T00:46:05.437397+00:00,2.1.260 (Claude Code),3bd85154c44434367401bd60c411b7adbfc18f5352ef8ea9b1eeb34e49ade034
