model,effort,task,run_id,total_score_pct,functional_pct,automated_quality_pct,security_pct,code_quality_pct,astra_reviewer_pct,claude_reviewer_pct,solver_fallback,duration_s,raw_tokens,estimated_api_usd,astra_long_context_upper_usd,started_at,finished_at,solver_cli_version,solver_stream_sha256,patch_sha256
astra,extra-high,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-dbecc8b0,93.19800000000001,100.0,82.88,90.0,86.33,93.33,79.33,False,379.234,858969,2.087842,3.905659,2026-09-05T06:00:44.464320+00:00,2026-09-05T06:07:03.703591+00:00,codex-cli 0.153.4,b1983efd0bd80b5bab84f1671a51d9bff0d0a6f781c3ec116f3f2b76c64d8762,75caf6a7e501f7e28d2d6b0aa3974de4e3646f67cd79d7142b6738eec89b759e
astra,extra-high,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-abd57910,91.42949999999999,100.0,79.53,80.0,87.5,94.33,80.67,False,403.997,611771,1.674182,3.051889,2026-09-05T07:04:10.749030+00:00,2026-09-05T07:10:54.747599+00:00,codex-cli 0.153.4,3a049fcb7a21871c98dd977aba7aa27b66266f1b22db7293b9a5d57866c286fb,c3fd4158fdb7b4009feea76dc7fe9069d7540c2d56a9b95749daa5e3a65d2001
astra,extra-high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-d1f795e4,92.897,100.0,81.98,90.0,85.5,92.67,78.33,False,435.712,953216,2.214248,4.123471,2026-09-05T06:43:26.590513+00:00,2026-09-05T06:50:42.306470+00:00,codex-cli 0.153.4,95020531422635dfb9459c92ed6914d6aa1b32166cff36f26474da145e11ed1e,d300b35db3544158355f0f05502c4bba1d0c20dfea3ae16c22e20ee09846c1c6
astra,extra-high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-858035b5,91.5275,100.0,81.28999999999999,80.0,86.67,93.67,79.67,False,375.825,469022,1.442196,2.601767,2026-09-05T06:07:03.845463+00:00,2026-09-05T06:13:19.675915+00:00,codex-cli 0.153.4,b1ab7f8369128447d007300344b197d89043561681a29fa6a52735ccaadf6bbe,12cd212fe208952a9781ef6baada13c3d36c4e495de12bd7a8faeb15241d6011
astra,max,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-dcdbffc5,91.9855,100.0,82.35,80.0,88.165,94.33,82.0,False,714.239,814763,2.28651,4.16462,2026-09-05T10:37:37.221835+00:00,2026-09-05T10:49:31.463640+00:00,codex-cli 0.153.4,170ea152c472029e79c72435d9b3d915eb14d4405678c3d0e5b453f1424f8b2a,819b2a027b2f61388d41753c8542efc7e3163877177fc11bc42f389bb72677fa
astra,max,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-80963573,91.001,100.0,77.34,80.0,87.0,93.33,80.67,False,693.092,1420598,3.4640839999999997,6.400093,2026-09-05T11:42:12.919508+00:00,2026-09-05T11:53:46.017083+00:00,codex-cli 0.153.4,7ee10c833a1a737b016c7a0b1734ecdf0ae389a9612106ed21f1512636d3654f,9b7e42cd8f147feb02b89a93fcb909c98c5c34534ec1cd7ed1d40c8fadd5eb18
astra,max,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-0041db50,93.3065,100.0,82.93,90.0,86.835,93.67,80.0,False,526.333,723780,2.08096,3.7633449999999997,2026-09-05T09:10:43.662736+00:00,2026-09-05T09:19:30.001063+00:00,codex-cli 0.153.4,e8458d951fa73732975b56868a339e3f0451437a0383cb0fd5165d0b4625186e,ef1f99c9e0976ac13392c4fc5a479f044a75b679f4b54858001b20bddf2a9c61
astra,max,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-ddca93e6,90.9475,100.0,77.42999999999999,80.0,86.665,92.0,81.33,False,858.083,1571012,5.267776,9.903777,2026-09-05T11:15:13.978950+00:00,2026-09-05T11:29:32.066635+00:00,codex-cli 0.153.4,cd90dd29879a681d637ec9686f160f7007746fcff678fb0b446c3e6ae067f4b5,9ead37fa2668c3bcef194aef6720ecd14959de493d29256659d0710a082f59fa
astra,max,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-90f8da84,92.894,100.0,81.52000000000001,90.0,85.83000000000001,93.33,78.33,False,555.468,435522,1.74654,3.0751049999999998,2026-09-05T09:01:28.036398+00:00,2026-09-05T09:10:43.510325+00:00,codex-cli 0.153.4,d96ac4347a975ba86954a5e6866714dafcdbca5b02cae560424c54dbb1be25ef,ea3b665a730fff40c76c83c3ff4f437b3dc501bcfa369d0943a6bd6450e06ea2
astra,max,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-f7e3d19e,91.96950000000001,100.0,77.35,90.0,84.33500000000001,87.67,81.0,False,1035.501,4036677,7.060498,13.361896,2026-09-05T10:57:58.327716+00:00,2026-09-05T11:15:13.835333+00:00,codex-cli 0.153.4,fb779cf58d579003afa41c58653d75213770dbab5a12e2e3c9c7ffc01f2d15af,0276296f5ae35d76cb95391cca8c3154204f97b7782e79ae1982baeeee2e2088
