model,effort,n,combined_33,combined_33_se,combined_20_profile,code_quality,code_quality_se,reviewed_score,intent_recovery,intent_recovery_redistributed_runs,readability,maintainability,muse_reviewed,grok_reviewed,functional,automated_quality,security,passed,mean_minutes,mean_raw_tokens,mean_usd,total_usd
GPT-5.6 Terra,low,23,59.6999,3.4294,62.0294,72.3150,1.5384,70.7428,76.1972,1,68.2971,73.1884,69.3841,72.1014,40.9922,80.4687,100.0000,2,6.6732,1212177.6,0.576358,13.256228
GPT-5.6 Terra,medium,23,66.3480,3.8156,68.8876,70.9261,1.5395,69.0670,75.8838,0,67.1196,71.0145,67.9348,70.1993,55.1278,80.9230,100.0000,5,7.8757,1450843.8,0.686316,15.785269
GPT-5.6 Terra,high,23,76.6793,3.4669,78.7848,73.8953,1.5028,72.0562,78.6883,1,70.0181,74.0942,71.9203,72.1920,73.9565,80.1830,100.0000,11,12.5891,2860571.2,1.183321,27.216389
GPT-5.6 Terra,extra-high,23,83.4578,2.7227,85.6210,73.1344,1.7625,71.1051,78.5458,0,67.9348,74.2754,70.9239,71.2862,88.1235,79.5496,100.0000,14,19.2392,5855559.1,2.117749,48.708228
GPT-5.6 Terra,max,23,89.0535,0.7139,91.1897,72.5197,1.9854,69.8822,79.5530,0,66.8478,72.9167,70.1993,69.5652,100.0000,78.7748,99.1304,23,19.7351,4682504.4,1.882200,43.290600
