model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
terra,max,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-8f6ac067,90.4428,92.4035,100.00,81.68,100.00,75.7576,76.0417,75.0000,False,72.9167,66.6667,79.1667,75.0000,79.1667,75.0000,83.3333,75.0000,10,652.536,1067987,0.725853,2026-09-15T05:21:21.491541+00:00,2026-09-15T05:32:14.032318+00:00,codex-cli 0.153.4,54b6ea0d4f809a94fd817aba1df396f343948218d74761a285b27a23b238abbc
terra,max,legacy-qlite-store-parity,legacy-qlite-store-parity-ef95575c,93.0049,93.7387,100.00,79.47,100.00,84.0909,81.2500,91.6667,False,81.2500,79.1667,83.3333,94.4444,81.2500,79.1667,83.3333,88.8889,9,706.328,1556784,0.912009,2026-09-15T05:09:35.014004+00:00,2026-09-15T05:21:21.347205+00:00,codex-cli 0.153.4,b9dcae599dae3d62c7187e3ca43234cc90ddaf0e9d5873b607b470931d4090a4
terra,max,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-276b15ad,85.3060,88.8836,100.00,77.55,100.00,61.2554,61.4583,60.7143,False,60.4167,50.0000,70.8333,64.2857,62.5000,54.1667,70.8333,57.1429,8,966.589,2485283,1.208979,2026-09-15T06:59:51.079204+00:00,2026-09-15T07:15:57.673792+00:00,codex-cli 0.153.4,5016e17d8aad9b13597fec1ca9335154e390d06cd8a957c02acb24036fe4a7d7
terra,max,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-1d43f175,88.7086,89.9225,100.00,82.16,85.00,74.2424,70.8333,83.3333,False,66.6667,58.3333,75.0000,88.8889,75.0000,70.8333,79.1667,77.7778,10,681.583,1232152,0.765534,2026-09-15T06:18:28.766434+00:00,2026-09-15T06:29:50.354170+00:00,codex-cli 0.153.4,8b295aa2ed5e716182aa4edec55201831a792f7f8850fd7a4feee0ce676712ed
terra,max,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-3ba63588,91.1936,92.9836,100.00,82.95,100.00,77.7056,76.0417,82.1429,False,77.0833,75.0000,79.1667,78.5714,75.0000,79.1667,70.8333,85.7143,8,1419.687,4334437,1.915716,2026-09-15T07:48:30.919390+00:00,2026-09-15T08:12:10.614788+00:00,codex-cli 0.153.4,97954cfc6ab96cc3c3e0c601e0b8a2d5ed8d280f7eccb0ba96ee148aacb9dd28
terra,max,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-ef1aa941,88.4693,90.7416,100.00,76.95,100.00,70.9957,70.8333,71.4286,False,68.7500,58.3333,79.1667,78.5714,72.9167,66.6667,79.1667,64.2857,8,1032.701,2361409,1.251949,2026-09-15T07:31:18.078823+00:00,2026-09-15T07:48:30.785041+00:00,codex-cli 0.153.4,f3adc53da98ff8d456919cf351263199fead15da3f627ff821e7337c8b8239de
terra,max,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-546dc4f5,91.3537,92.5626,100.00,77.69,100.00,79.5455,75.0000,91.6667,False,77.0833,75.0000,79.1667,88.8889,72.9167,70.8333,75.0000,94.4444,10,1050.837,2947535,1.439247,2026-09-15T04:37:33.832593+00:00,2026-09-15T04:55:04.675997+00:00,codex-cli 0.153.4,0f26fca8ecec72996ba11c3e9728f5e063d67fbbdfba8a39faa96642b0367182
terra,max,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-a74e767f,90.0222,92.3131,100.00,83.35,100.00,74.0530,76.0417,68.7500,False,77.0833,75.0000,79.1667,62.5000,75.0000,75.0000,75.0000,75.0000,10,936.004,3132639,1.369868,2026-09-15T06:29:50.491652+00:00,2026-09-15T06:45:26.503124+00:00,codex-cli 0.153.4,87c1ae1673619a4379c7fccfcd26668ebd4616ee3f5975480b4c38abdee233d4
terra,max,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-f592222e,86.9530,90.3003,100.00,81.80,100.00,65.1515,61.4583,75.0000,False,58.3333,54.1667,62.5000,78.5714,64.5833,58.3333,70.8333,71.4286,9,593.18,1702500,0.822117,2026-09-15T08:59:32.678481+00:00,2026-09-15T09:09:25.862990+00:00,codex-cli 0.153.4,5bebb9e573c6e6f6279d8c684a7a77189c2585213a29f37fd8fe3c5bfee10842
terra,max,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-33d158cf,88.8654,91.4820,100.00,82.03,100.00,70.8874,66.6667,82.1429,False,66.6667,62.5000,70.8333,85.7143,66.6667,58.3333,75.0000,78.5714,8,1167.966,2426792,1.327978,2026-09-15T08:12:10.756478+00:00,2026-09-15T08:31:38.730137+00:00,codex-cli 0.153.4,84caedc538c4e90b85b8fc59209fe5f67092edd0c9a99fb7badbbdf53651e87c
terra,max,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-304f8e45,92.9886,94.2478,100.00,84.74,100.00,82.6840,80.2083,89.2857,False,77.0833,83.3333,70.8333,85.7143,83.3333,83.3333,83.3333,92.8571,9,864.292,2063813,1.103962,2026-09-15T06:45:26.642830+00:00,2026-09-15T06:59:50.941842+00:00,codex-cli 0.153.4,be2da8e7fb359ce7e8cb3f5ab07d13c84fb32843865bf68eb807b92a32e1a277
